runs, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52
100, 1, 0, 6, 0, 5, 0, 10, 0, 16, 0, 9, 0, 2, 0, 7, 0, 10, 0, 8, 0, 6, 0, 9, 0, 2, 0, 2, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 1, 0, 10, 0, 14, 0, 22, 0, 28, 0, 17, 0, 9, 0, 20, 0, 15, 0, 17, 0, 9, 0, 12, 0, 9, 0, 5, 0, 4, 0, 4, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 2, 0, 14, 0, 21, 0, 33, 0, 36, 0, 27, 0, 18, 0, 27, 0, 24, 0, 23, 0, 16, 0, 17, 0, 13, 0, 9, 0, 8, 0, 7, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 2, 0, 17, 0, 29, 0, 43, 0, 48, 0, 37, 0, 23, 0, 36, 0, 35, 0, 34, 0, 21, 0, 22, 0, 17, 0, 12, 0, 9, 0, 7, 0, 4, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 2, 0, 21, 0, 48, 0, 48, 0, 58, 0, 43, 0, 34, 0, 47, 0, 42, 0, 46, 0, 25, 0, 25, 0, 20, 0, 14, 0, 10, 0, 8, 0, 5, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 2, 0, 21, 0, 62, 0, 55, 0, 70, 0, 55, 0, 44, 0, 57, 0, 48, 0, 55, 0, 29, 0, 30, 0, 24, 0, 16, 0, 10, 0, 9, 0, 6, 0, 2, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 3, 0, 25, 0, 71, 0, 67, 0, 75, 0, 69, 0, 56, 0, 65, 0, 57, 0, 60, 0, 38, 0, 35, 0, 26, 0, 17, 0, 12, 0, 9, 0, 7, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 4, 0, 35, 0, 79, 0, 77, 0, 87, 0, 79, 0, 62, 0, 71, 0, 60, 0, 67, 0, 42, 0, 45, 0, 33, 0, 17, 0, 15, 0, 10, 0, 9, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 5, 0, 42, 0, 87, 0, 85, 0, 95, 0, 93, 0, 72, 0, 79, 0, 68, 0, 74, 0, 52, 0, 47, 0, 38, 0, 19, 0, 16, 0, 11, 0, 9, 0, 2, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 5, 0, 47, 0, 93, 0, 97, 0, 104, 0, 104, 0, 85, 0, 85, 0, 78, 0, 83, 0, 56, 0, 51, 0, 44, 0, 21, 0, 16, 0, 12, 0, 10, 0, 3, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
